time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2018-06-15 08:10:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 08:20:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 08:30:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 08:40:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 08:50:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 09:00:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 09:10:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 09:20:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 09:30:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 09:40:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 09:50:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 10:00:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 10:10:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 10:20:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 10:30:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 10:40:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 10:50:00,0.0,0.0,0.0,0.86,0.63,0.0
2018-06-15 11:00:00,0.0,0.0,0.0,0.88,0.79,0.0
2018-06-15 11:10:00,0.0,0.0,0.0,0.89,0.88,0.0
2018-06-15 11:20:00,0.0,0.0,0.0,0.9,0.98,0.0
2018-06-15 11:30:00,0.0,0.0,0.0,0.91,1.08,0.0
2018-06-15 11:40:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 11:50:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 12:00:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 12:10:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 12:20:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 12:30:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 12:40:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 12:50:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 13:00:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 13:10:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 13:20:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 13:30:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 13:40:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 13:50:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 14:00:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 14:10:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 14:20:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 14:30:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 14:40:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 14:50:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 15:00:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 15:10:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 15:20:00,0.0,0.0,0.0,0.94,1.44,0.0
2018-06-15 15:30:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 15:40:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 15:50:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 16:00:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 16:10:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 16:20:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 16:30:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 16:40:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 16:50:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 17:00:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 17:10:00,0.0,0.0,0.0,0.93,1.32,0.0
2018-06-15 17:20:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 17:30:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 17:40:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 17:50:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 18:00:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 18:10:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 18:20:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 18:30:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 18:40:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 18:50:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 19:00:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 19:10:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 19:20:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 19:30:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 19:40:00,0.0,0.0,0.0,0.92,1.2,0.0
2018-06-15 19:50:00,0.0,0.0,0.0,0.91,1.08,0.0
2018-06-15 20:00:00,0.0,0.0,0.0,0.91,1.08,0.0
