time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2025-02-02 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.73,2.31,1.82,6.77,0.0,0.0
2025-02-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.73,2.31,1.81,6.38,0.0,0.0
2025-02-02 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.73,2.31,1.82,6.77,0.0,0.0
2025-02-02 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.73,2.31,1.82,6.77,0.0,0.0
2025-02-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.82,6.77,0.0,0.0
2025-02-02 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.82,6.77,0.0,0.0
2025-02-02 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.81,6.38,0.0,0.0
2025-02-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.81,6.38,0.0,0.0
2025-02-02 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.81,6.38,0.0,0.0
2025-02-02 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.81,6.38,0.0,0.0
2025-02-02 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.80,5.99,0.0,0.0
2025-02-02 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.80,5.99,0.0,0.0
2025-02-02 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.80,5.99,0.0,0.0
2025-02-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.80,5.99,0.0,0.0
2025-02-02 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.80,5.99,0.0,0.0
2025-02-02 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.80,5.99,0.0,0.0
2025-02-02 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.80,5.99,0.0,0.0
2025-02-02 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.80,5.99,0.0,0.0
2025-02-02 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.80,5.99,0.0,0.0
2025-02-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.80,5.99,0.0,0.0
2025-02-02 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.80,5.99,0.0,0.0
2025-02-02 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.80,5.99,0.0,0.0
2025-02-02 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.79,5.62,0.0,0.0
2025-02-02 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.70,1.72,1.79,5.62,0.0,0.0
2025-02-02 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.70,1.72,1.79,5.62,0.0,0.0
2025-02-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.70,1.72,1.79,5.62,0.0,0.0
2025-02-02 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.70,1.72,1.79,5.62,0.0,0.0
2025-02-02 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.70,1.72,1.79,5.62,0.0,0.0
2025-02-02 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.79,5.62,0.0,0.0
2025-02-02 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.79,5.62,0.0,0.0
2025-02-02 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.79,5.62,0.0,0.0
2025-02-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.79,5.62,0.0,0.0
2025-02-02 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.78,5.25,0.0,0.0
2025-02-02 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 09:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.0,0.0
2025-02-02 13:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.68,1.36,1.78,5.25,0.016,0.0
