time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2025-01-14 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.83,7.18,0.0,0.0
2025-01-14 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.83,7.18,0.0,0.0
2025-01-14 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.83,7.18,0.0,0.0
2025-01-14 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.83,7.18,0.0,0.0
2025-01-14 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.83,7.18,0.0,0.0
2025-01-14 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.83,7.18,0.0,0.0
2025-01-14 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.54,1.83,7.18,0.0,0.0
2025-01-14 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.70,1.72,1.83,7.18,0.0,0.0
2025-01-14 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.70,1.72,1.83,7.18,0.0,0.0
2025-01-14 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.70,1.72,1.83,7.18,0.0,0.0
2025-01-14 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.83,7.18,0.0,0.0
2025-01-14 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.83,7.18,0.0,0.0
2025-01-14 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.83,7.18,0.0,0.0
2025-01-14 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.91,1.83,7.18,0.0,0.0
2025-01-14 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.83,7.18,0.0,0.0
2025-01-14 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.83,7.18,0.0,0.0
2025-01-14 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.72,2.11,1.83,7.18,0.0,0.0
2025-01-14 13:20:00,0.0,0.0,1.0,0.0,0.0,0.0,0.72,2.11,1.83,7.18,0.016,0.0
