time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2015-07-24 23:30:00,1.0,0.0,1.0,0.0,0.0,0.0,1.07,3.77,2.0,22.12,0.177,0.0
2015-07-24 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,2.0,22.12,0.0,0.0
2015-07-24 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.99,20.75,0.0,0.0
2015-07-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.99,20.75,0.0,0.0
2015-07-25 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.99,20.75,0.0,0.0
2015-07-25 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.98,19.44,0.0,0.0
2015-07-25 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.98,19.44,0.0,0.0
2015-07-25 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.98,19.44,0.0,0.0
2015-07-25 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.98,19.44,0.0,0.0
2015-07-25 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.98,19.44,0.0,0.0
2015-07-25 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,3.77,1.98,19.44,0.0,0.0
2015-07-25 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,1.98,19.44,0.0,0.0
2015-07-25 01:30:00,0.0,1.0,1.0,0.0,0.0,0.0,1.08,4.02,1.97,18.19,0.389,0.0
2015-07-25 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.08,4.02,1.97,18.19,0.0,0.0
2015-07-25 01:50:00,1.0,0.0,0.0,1.0,1.0,1.0,1.08,4.02,1.97,18.19,0.611,1.0
2015-07-25 02:00:00,1.0,1.0,1.0,1.0,1.0,0.0,1.08,4.02,1.97,18.19,0.749,0.939
2015-07-25 02:10:00,0.0,1.0,1.0,1.0,1.0,1.0,1.08,4.02,1.97,18.19,0.839,1.0
2015-07-25 02:20:00,1.0,1.0,1.0,0.0,1.0,1.0,1.08,4.02,1.97,18.19,0.926,0.512
2015-07-25 02:30:00,1.0,1.0,1.0,1.0,2.0,0.0,1.08,4.02,1.97,18.19,0.874,1.39
2015-07-25 02:40:00,0.0,0.0,0.0,0.0,1.0,0.0,1.08,4.02,1.97,18.19,0.125,0.451
2015-07-25 02:50:00,0.0,1.0,0.0,1.0,1.0,0.0,1.09,4.27,1.97,18.19,0.5720000000000001,0.939
2015-07-25 03:00:00,0.0,0.0,1.0,0.0,1.0,0.0,1.1,4.54,1.97,18.19,0.141,0.451
2015-07-25 03:10:00,0.0,0.0,0.0,1.0,2.0,0.0,1.1,4.54,1.97,18.19,0.324,1.39
2015-07-25 03:20:00,0.0,1.0,0.0,3.0,5.0,1.0,1.11,4.82,1.97,18.19,1.471,3.78
2015-07-25 03:30:00,0.0,0.0,1.0,3.0,6.0,1.0,1.16,6.39,1.97,18.19,1.239,4.231
2015-07-25 03:40:00,1.0,1.0,1.0,5.0,9.0,2.0,1.28,11.55,1.97,18.19,2.547,6.621
2015-07-25 03:50:00,0.0,3.0,1.0,5.0,9.0,1.0,1.41,19.26,1.97,18.19,2.881,6.5600000000000005
2015-07-25 04:00:00,1.0,2.0,0.0,5.0,9.0,3.0,1.6,35.18,1.97,18.19,3.155,6.682
2015-07-25 04:10:00,1.0,3.0,3.0,7.0,6.0,5.0,1.89,68.06,1.97,18.19,3.851,6.427
2015-07-25 04:20:00,3.0,7.0,3.0,5.0,5.0,9.0,2.1,91.74,1.97,18.19,6.396,5.244
2015-07-25 04:30:00,12.0,13.0,10.0,4.0,2.0,5.0,2.16,99.11,1.97,18.19,8.742,3.1590000000000003
2015-07-25 04:40:00,11.0,10.0,11.0,3.0,1.0,3.0,2.21,105.46,1.98,19.44,6.777000000000001,2.098
2015-07-25 04:50:00,4.0,6.0,9.0,2.0,1.0,2.0,2.27,113.32,2.02,25.03,3.801,1.549
2015-07-25 05:00:00,5.0,2.0,5.0,1.0,0.0,2.0,2.28,114.65,3.38,223.85,2.207,0.61
2015-07-25 05:10:00,2.0,4.0,4.0,1.0,1.0,0.0,2.24,109.35,3.91,338.09,2.077,0.939
2015-07-25 05:20:00,1.0,1.0,2.0,0.0,0.0,1.0,2.16,99.11,4.17,406.18,0.8170000000000001,0.061
2015-07-25 05:30:00,0.0,1.0,1.0,0.0,0.0,0.0,2.08,89.35,4.32,447.74,0.389,0.0
2015-07-25 05:40:00,1.0,0.0,0.0,0.0,0.0,0.0,1.94,73.40,4.4,470.58,0.161,0.0
2015-07-25 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.82,60.91,4.42,476.36,0.0,0.0
2015-07-25 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.72,48.50,4.44,482.17,0.0,0.0
2015-07-25 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.65,40.41,4.4,470.58,0.0,0.0
2015-07-25 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.59,34.19,4.3,442.11,0.0,0.0
2015-07-25 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.54,29.50,4.16,403.47,0.0,0.0
2015-07-25 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.5,26.05,3.99,358.5,0.0,0.0
2015-07-25 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.47,23.65,3.82,315.71,0.0,0.0
2015-07-25 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.44,21.38,3.65,276.67,0.0,0.0
2015-07-25 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.43,20.66,3.48,242.98,0.0,0.0
2015-07-25 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.4,18.58,3.31,210.78,0.0,0.0
2015-07-25 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.39,17.92,3.16,183.66,0.0,0.0
2015-07-25 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.38,17.27,3.02,159.5,0.0,0.0
2015-07-25 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.37,16.64,2.91,141.33,0.0,0.0
2015-07-25 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.36,16.03,2.84,130.16,0.0,0.0
2015-07-25 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.35,15.42,2.79,122.36,0.0,0.0
2015-07-25 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.34,14.84,2.77,119.29,0.0,0.0
2015-07-25 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.34,14.84,2.76,117.77,0.0,0.0
2015-07-25 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.33,14.26,2.75,116.25,0.0,0.0
2015-07-25 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.32,13.70,2.74,114.73,0.0,0.0
2015-07-25 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.31,13.16,2.73,113.23,0.0,0.0
2015-07-25 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.3,12.63,2.71,110.23,0.0,0.0
2015-07-25 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.29,12.08,2.7,108.75,0.0,0.0
2015-07-25 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.28,11.55,2.68,105.8,0.0,0.0
2015-07-25 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.27,11.04,2.67,104.33,0.0,0.0
