time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2016-07-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.85,7.06,0.0,0.0
2016-07-01 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.85,7.06,0.0,0.0
2016-07-01 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.85,7.06,0.0,0.0
2016-07-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.85,7.06,0.0,0.0
2016-07-01 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.85,7.06,0.0,0.0
2016-07-01 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.85,7.06,0.0,0.0
2016-07-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.85,7.06,0.0,0.0
2016-07-01 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.85,7.06,0.0,0.0
2016-07-01 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.85,7.06,0.0,0.0
2016-07-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.84,6.43,0.0,0.0
2016-07-01 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.84,6.43,0.0,0.0
2016-07-01 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.88,1.84,6.43,0.0,0.0
2016-07-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.88,1.84,6.43,0.0,0.0
2016-07-01 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.88,1.84,6.43,0.0,0.0
2016-07-01 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.88,1.84,6.43,0.0,0.0
2016-07-01 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.79,1.83,5.83,0.0,0.0
2016-07-01 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.79,1.83,5.83,0.0,0.0
2016-07-01 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.79,1.83,5.83,0.0,0.0
2016-07-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.71,1.82,5.27,0.0,0.0
2016-07-01 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.71,1.82,5.27,0.0,0.0
2016-07-01 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.71,1.82,5.27,0.0,0.0
2016-07-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.71,1.82,5.27,0.0,0.0
2016-07-01 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.71,1.81,4.75,0.0,0.0
2016-07-01 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.81,4.75,0.0,0.0
2016-07-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.81,4.75,0.0,0.0
2016-07-01 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.81,4.75,0.0,0.0
2016-07-01 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.81,4.75,0.0,0.0
2016-07-01 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.81,4.75,0.0,0.0
2016-07-01 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.81,4.75,0.0,0.0
2016-07-01 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.81,4.75,0.0,0.0
2016-07-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.56,1.81,4.75,0.0,0.0
2016-07-01 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.56,1.81,4.75,0.0,0.0
2016-07-01 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.56,1.81,4.75,0.0,0.0
2016-07-01 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.56,1.81,4.75,0.0,0.0
2016-07-01 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,1.82,5.27,0.0,0.0
2016-07-01 09:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,1.82,5.27,0.0,0.0
2016-07-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,1.83,5.83,0.0,0.0
2016-07-01 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,1.83,5.83,0.0,0.0
2016-07-01 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,1.83,5.83,0.0,0.0
2016-07-01 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,1.83,5.83,0.0,0.0
2016-07-01 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,1.83,5.83,0.0,0.0
2016-07-01 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,1.84,6.43,0.0,0.0
2016-07-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,1.84,6.43,0.0,0.0
2016-07-01 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.63,1.84,6.43,0.0,0.0
2016-07-01 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.79,1.84,6.43,0.0,0.0
2016-07-01 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.84,6.43,0.0,0.0
2016-07-01 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.84,6.43,0.0,0.0
2016-07-01 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.84,6.43,0.0,0.0
2016-07-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.32,1.84,6.43,0.0,0.0
2016-07-01 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.32,1.84,6.43,0.0,0.0
2016-07-01 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.84,6.43,0.0,0.0
2016-07-01 12:30:00,0.0,0.0,0.0,4.0,0.0,0.0,0.94,1.44,1.84,6.43,0.296,1.952
2016-07-01 12:40:00,0.0,1.0,0.0,1.0,0.0,1.0,0.94,1.44,1.84,6.43,0.698,0.5489999999999999
2016-07-01 12:50:00,7.0,1.0,0.0,1.0,1.0,1.0,0.94,1.44,1.84,6.43,1.95,1.0
2016-07-01 13:00:00,0.0,1.0,1.0,0.0,0.0,0.0,0.94,1.44,1.85,7.06,0.389,0.0
2016-07-01 13:10:00,0.0,0.0,1.0,0.0,1.0,1.0,0.94,1.44,1.86,7.74,0.392,0.512
2016-07-01 13:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.87,8.46,0.161,0.0
2016-07-01 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.88,9.22,0.0,0.0
2016-07-01 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.88,9.22,0.0,0.0
2016-07-01 13:50:00,0.0,0.0,0.0,1.0,0.0,0.0,0.94,1.44,1.88,9.22,0.074,0.488
2016-07-01 14:00:00,0.0,1.0,1.0,1.0,2.0,1.0,0.94,1.44,1.89,10.02,0.964,1.451
2016-07-01 14:10:00,1.0,1.0,1.0,2.0,1.0,2.0,0.95,1.58,1.89,10.02,1.3250000000000002,1.549
2016-07-01 14:20:00,2.0,2.0,2.0,0.0,1.0,1.0,0.96,1.72,1.9,10.87,1.476,0.512
2016-07-01 14:30:00,1.0,1.0,1.0,1.0,1.0,0.0,0.98,2.01,1.91,11.77,0.749,0.939
2016-07-01 14:40:00,0.0,1.0,1.0,0.0,0.0,1.0,0.99,2.17,1.92,12.71,0.64,0.061
2016-07-01 14:50:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.34,1.92,12.71,1.0,1.0
2016-07-01 15:00:00,1.0,1.0,1.0,1.0,2.0,0.0,1.02,2.7,1.93,13.7,0.874,1.39
2016-07-01 15:10:00,1.0,1.0,1.0,1.0,2.0,1.0,1.02,2.7,1.93,13.7,1.125,1.451
2016-07-01 15:20:00,0.0,0.0,1.0,0.0,0.0,0.0,1.03,2.9,1.94,14.75,0.016,0.0
2016-07-01 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.1,1.95,15.84,0.0,0.0
2016-07-01 15:40:00,0.0,1.0,0.0,0.0,0.0,0.0,1.06,3.54,1.96,16.99,0.373,0.0
2016-07-01 15:50:00,0.0,0.0,0.0,1.0,5.0,0.0,1.09,4.27,1.98,19.44,0.699,2.743
2016-07-01 16:00:00,0.0,0.0,1.0,0.0,0.0,0.0,1.12,5.11,1.99,20.75,0.016,0.0
2016-07-01 16:10:00,0.0,1.0,0.0,0.0,0.0,0.0,1.16,6.39,2.0,22.12,0.373,0.0
2016-07-01 16:20:00,0.0,0.0,1.0,1.0,0.0,0.0,1.2,7.87,2.01,23.55,0.09,0.488
2016-07-01 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.23,9.14,2.02,25.03,0.0,0.0
2016-07-01 16:40:00,1.0,1.0,0.0,1.0,1.0,1.0,1.25,10.06,2.03,26.58,0.984,1.0
2016-07-01 16:50:00,0.0,1.0,1.0,1.0,0.0,0.0,1.27,11.04,2.04,27.51,0.463,0.488
2016-07-01 17:00:00,1.0,0.0,1.0,0.0,1.0,1.0,1.3,12.63,2.04,27.51,0.553,0.512
2016-07-01 17:10:00,0.0,1.0,1.0,1.0,0.0,0.0,1.31,13.16,2.05,28.45,0.463,0.488
2016-07-01 17:20:00,1.0,0.0,0.0,1.0,1.0,1.0,1.32,13.7,2.05,28.45,0.611,1.0
2016-07-01 17:30:00,1.0,1.0,1.0,1.0,1.0,1.0,1.32,13.7,2.05,28.45,1.0,1.0
2016-07-01 17:40:00,1.0,2.0,1.0,2.0,1.0,1.0,1.32,13.7,2.06,29.41,1.447,1.488
2016-07-01 17:50:00,2.0,3.0,4.0,2.0,4.0,4.0,1.32,13.7,2.07,30.37,3.157,3.024
2016-07-01 18:00:00,5.0,3.0,3.0,5.0,5.0,4.0,1.31,13.16,2.09,32.33,3.971,4.939
2016-07-01 18:10:00,6.0,7.0,5.0,9.0,3.0,6.0,1.31,13.16,2.15,38.45,6.204,6.110999999999999
2016-07-01 18:20:00,5.0,9.0,7.0,9.0,4.0,7.0,1.36,16.03,2.22,46.02,7.197000000000001,6.622999999999999
2016-07-01 18:30:00,5.0,9.0,7.0,9.0,2.0,7.0,1.41,19.26,2.35,61.22,6.947000000000001,5.720999999999999
2016-07-01 18:40:00,5.0,9.0,6.0,10.0,13.0,7.0,1.48,24.43,2.49,79.14,8.379999999999999,11.17
2016-07-01 18:50:00,4.0,5.0,5.0,5.0,5.0,5.0,1.61,36.19,2.83,128.58,4.839,5.0
2016-07-01 19:00:00,5.0,5.0,6.0,1.0,1.0,2.0,1.74,50.99,3.09,171.44,3.467,1.061
2016-07-01 19:10:00,2.0,1.0,2.0,1.0,2.0,1.0,1.85,63.93,3.4,227.64,1.302,1.451
2016-07-01 19:20:00,1.0,1.0,2.0,1.0,2.0,1.0,1.93,72.32,3.67,280.73,1.141,1.451
2016-07-01 19:30:00,1.0,1.0,1.0,1.0,1.0,0.0,2.01,81.19,3.86,325.58,0.749,0.939
2016-07-01 19:40:00,0.0,1.0,0.0,1.0,2.0,2.0,2.06,86.98,3.97,353.35,1.1989999999999998,1.512
2016-07-01 19:50:00,1.0,2.0,1.0,4.0,4.0,2.0,2.06,86.98,4.0,361.08,2.221,3.878
2016-07-01 20:00:00,1.0,2.0,2.0,5.0,7.0,3.0,2.03,83.48,3.99,358.5,2.937,5.779999999999999
2016-07-01 20:10:00,1.0,4.0,3.0,8.0,5.0,4.0,2.02,82.33,3.96,350.79,3.922,6.403
2016-07-01 20:20:00,3.0,5.0,4.0,2.0,3.0,1.0,2.04,84.64,3.92,340.61,3.186,2.39
2016-07-01 20:30:00,2.0,4.0,4.0,0.0,2.0,1.0,2.07,88.16,3.89,333.06,2.379,0.963
